Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
7000 BLOCK OF SE MARTINS ST,21-256082,Society,Mt Scott-Arleta,9/13/21,2112,Weapon Law Violations,Weapons Law Violations,45.47889386,-122.5905914,9/13/21,1
7100 BLOCK OF NE 82ND AVE,21-110165,Society,,4/24/21,1929,Weapon Law Violations,Weapons Law Violations,45.57506563,-122.5778335,4/24/21,1
7100 BLOCK OF NE KILLINGSWORTH ST,21-261295,Society,Cully,9/19/21,220,Weapon Law Violations,Weapons Law Violations,45.56263405,-122.5893728,9/19/21,1
7100 BLOCK OF SE CENTER ST,21-32651,Society,Foster-Powell,2/5/21,552,Weapon Law Violations,Weapons Law Violations,45.49379138,-122.5894037,2/5/21,1
7200 BLOCK OF SE HAWTHORNE BLVD,21-181637,Society,Mt Tabor,7/4/21,628,Weapon Law Violations,Weapons Law Violations,45.51219887,-122.5883132,7/4/21,1
7300 BLOCK OF SE FLAVEL ST,21-132603,Society,Brentwood-Darlington,5/14/21,1500,Weapon Law Violations,Weapons Law Violations,45.46860998,-122.5877683,5/17/21,1
7400 BLOCK OF N INTERSTATE AVE,21-94949,Society,Arbor Lodge,4/9/21,1146,Weapon Law Violations,Weapons Law Violations,45.57683048,-122.6819473,4/9/21,1
7400 BLOCK OF SE 66TH AVE,21-146061,Society,Brentwood-Darlington,5/30/21,1238,Weapon Law Violations,Weapons Law Violations,45.46903815,-122.5951381,5/30/21,1
7500 BLOCK OF SE 82ND AVE,21-103576,Society,Brentwood-Darlington,4/17/21,2123,Weapon Law Violations,Weapons Law Violations,45.46832541,-122.5791093,4/17/21,1
7500 BLOCK OF SE 82ND AVE,21-115110,Society,Brentwood-Darlington,4/29/21,1735,Weapon Law Violations,Weapons Law Violations,45.46832541,-122.5791093,4/29/21,1
7500 BLOCK OF SE 82ND AVE,21-256261,Society,Brentwood-Darlington,9/14/21,210,Weapon Law Violations,Weapons Law Violations,45.46832541,-122.5791093,9/14/21,1
7600 BLOCK OF S CORBETT AVE,21-142181,Society,South Portland,5/26/21,1829,Weapon Law Violations,Weapons Law Violations,45.46895385,-122.6764992,5/26/21,1
7600 BLOCK OF SE 82ND AVE,21-5659,Society,Lents,1/7/21,422,Weapon Law Violations,Weapons Law Violations,45.46765283,-122.5789794,1/7/21,1
7600 BLOCK OF SE 82ND AVE,21-186215,Society,Lents,7/8/21,1358,Weapon Law Violations,Weapons Law Violations,45.46765283,-122.5789794,7/8/21,1
7800 BLOCK OF NE SCHUYLER ST,21-165914,Society,Madison South,6/19/21,23,Weapon Law Violations,Weapons Law Violations,45.53562886,-122.5833389,6/19/21,1
7900 BLOCK OF NE 82ND AVE,21-80818,Society,,3/26/21,2224,Weapon Law Violations,Weapons Law Violations,45.57957463,-122.5724353,3/26/21,1
7900 BLOCK OF NE WYGANT ST,21-156460,Society,Cully,6/9/21,1647,Weapon Law Violations,Weapons Law Violations,45.55807507,-122.5808551,6/9/21,1
7900 BLOCK OF SE POWELL BLVD,21-224797,Society,South Tabor,8/14/21,22,Weapon Law Violations,Weapons Law Violations,45.49746195,-122.5814163,8/14/21,1
8000 BLOCK OF NE MARTIN LUTHER KING JR BLVD,21-680061,Society,Piedmont,1/22/21,440,Weapon Law Violations,Weapons Law Violations,45.58160018,-122.6615362,1/22/21,1
8000 BLOCK OF SE FOSTER RD,21-228840,Society,Mt Scott-Arleta,8/18/21,225,Weapon Law Violations,Weapons Law Violations,45.4833909,-122.5806083,8/18/21,1
8100 BLOCK OF N PORTSMOUTH AVE,21-129692,Society,Portsmouth,5/14/21,845,Weapon Law Violations,Weapons Law Violations,45.58458508,-122.7225896,5/14/21,1
8100 BLOCK OF SE 52ND AVE,21-135759,Society,Brentwood-Darlington,5/20/21,1051,Weapon Law Violations,Weapons Law Violations,45.46445076,-122.6099686,5/20/21,1
